start_id,end_id,start_date,end_date,subscription_type
21,21,8/30/2013 22:10,8/30/2013 22:22,Subscriber
66,43,8/30/2013 17:30,8/30/2013 17:42,Customer
65,63,8/30/2013 16:05,8/30/2013 16:17,Customer
58,42,8/30/2013 17:21,8/30/2013 17:33,Subscriber
5,6,8/30/2013 18:16,8/30/2013 18:28,Customer
49,62,8/30/2013 10:30,8/30/2013 10:42,Customer
49,43,8/30/2013 16:44,8/30/2013 16:57,Subscriber
45,58,8/30/2013 14:31,8/30/2013 14:44,Customer
40,40,8/30/2013 13:50,8/30/2013 14:02,Subscriber
34,50,8/30/2013 8:52,8/30/2013 9:04,Customer
57,34,8/30/2013 17:23,8/30/2013 17:35,Customer
58,45,8/30/2013 23:05,8/30/2013 23:18,Customer
66,58,8/30/2013 17:48,8/30/2013 18:01,Customer
44,42,8/30/2013 16:34,8/30/2013 16:47,Customer
61,60,8/30/2013 18:50,8/30/2013 19:02,Customer
33,60,8/30/2013 19:01,8/30/2013 19:14,Customer
49,37,8/30/2013 13:45,8/30/2013 13:57,Subscriber
61,63,8/30/2013 19:09,8/30/2013 19:22,Subscriber
61,63,8/30/2013 19:09,8/30/2013 19:22,Subscriber
60,62,8/30/2013 19:33,8/30/2013 19:45,Customer
52,62,8/30/2013 12:05,8/30/2013 12:18,Customer
65,50,8/30/2013 9:54,8/30/2013 10:07,Customer
40,37,8/30/2013 19:11,8/30/2013 19:24,Customer
55,51,8/30/2013 8:51,8/30/2013 9:04,Subscriber
63,62,8/30/2013 8:18,8/30/2013 8:30,Subscriber
59,37,8/30/2013 8:44,8/30/2013 8:57,Subscriber
63,49,8/30/2013 17:55,8/30/2013 18:08,Subscriber
60,62,8/30/2013 19:32,8/30/2013 19:45,Customer
8,10,8/30/2013 18:16,8/30/2013 18:29,Customer
49,59,8/30/2013 6:56,8/30/2013 7:09,Customer
66,43,8/30/2013 17:29,8/30/2013 17:42,Customer
49,45,8/30/2013 20:49,8/30/2013 21:02,Subscriber
52,62,8/30/2013 12:05,8/30/2013 12:18,Customer
59,49,8/30/2013 17:25,8/30/2013 17:39,Customer
49,45,8/30/2013 20:50,8/30/2013 21:03,Customer
58,55,8/30/2013 8:28,8/30/2013 8:42,Subscriber
65,50,8/30/2013 9:54,8/30/2013 10:07,Customer
49,51,8/30/2013 21:10,8/30/2013 21:23,Subscriber
38,46,8/30/2013 17:11,8/30/2013 17:25,Customer
40,61,8/30/2013 14:33,8/30/2013 14:47,Customer
55,66,8/30/2013 16:08,8/30/2013 16:21,Customer
54,47,8/30/2013 16:10,8/30/2013 16:24,Customer
37,55,8/30/2013 19:20,8/30/2013 19:33,Subscriber
